source_record_id,source_rows,company_name,company_identity_group_id,canonical_domain,domain_source,location,close_date,outcome,fields,warnings
D-001,2,Regional Supply Company 01,"name-location:regional supply company 01|dallas, tx","",none,"dallas, tx",2019-01-15,negative,"{
  ""Commercial Systems"": ""spreadsheets"",
  ""Customer Base"": ""enterprise accounts"",
  ""Employee Count"": 1200,
  ""Legal Status"": ""inactive"",
  ""Loss Reason"": ""no territory fit"",
  ""Recent Funding"": true,
  ""Sales Motion"": ""inside sales"",
  ""Warehouse Network"": false
}",Primary Contact Email uses a consumer mailbox domain; no company domain was derived.
D-002,3,Regional Supply Company 02,domain:regional-supplier-02.example,regional-supplier-02.example,website,"denver, co",2019-02-15,positive,"{
  ""Commercial Systems"": ""email only"",
  ""Customer Base"": ""consumer mass market"",
  ""Employee Count"": 72,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": null,
  ""Sales Motion"": ""territory sales"",
  ""Warehouse Network"": false
}",""
D-003,4,Regional Supply Company 03,domain:regional-supplier-03.example,regional-supplier-03.example,website,"tulsa, ok",2019-03-15,positive,"{
  ""Commercial Systems"": ""spreadsheets"",
  ""Customer Base"": ""fragmented smb"",
  ""Employee Count"": 109,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": null,
  ""Sales Motion"": ""inside sales"",
  ""Warehouse Network"": false
}",""
D-004,5,Regional Supply Company 04,domain:regional-supplier-04.example,regional-supplier-04.example,website,"phoenix, az",2019-04-15,positive,"{
  ""Commercial Systems"": ""email only"",
  ""Customer Base"": ""local business network"",
  ""Employee Count"": 146,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": false,
  ""Sales Motion"": ""territory sales"",
  ""Warehouse Network"": false
}",""
D-005,6,Regional Supply Company 05,domain:regional-supplier-05.example,regional-supplier-05.example,website,"columbus, oh",2019-05-15,negative,"{
  ""Commercial Systems"": ""hubspot crm and erp export"",
  ""Customer Base"": ""enterprise accounts"",
  ""Employee Count"": 183,
  ""Legal Status"": ""active"",
  ""Loss Reason"": ""no territory fit"",
  ""Recent Funding"": null,
  ""Sales Motion"": ""inside sales"",
  ""Warehouse Network"": false
}",""
D-006,17,Regional Supply Company 06,domain:regional-supplier-06.example,regional-supplier-06.example,website,"dallas, tx",2020-04-15,positive,"{
  ""Commercial Systems"": ""salesforce crm"",
  ""Customer Base"": ""consumer mass market"",
  ""Employee Count"": 1500,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": false,
  ""Sales Motion"": ""territory sales"",
  ""Warehouse Network"": false
}",""
D-007,18,Regional Supply Company 07,domain:regional-supplier-07.example,regional-supplier-07.example,website,"denver, co",2020-05-15,positive,"{
  ""Commercial Systems"": ""hubspot crm and erp export"",
  ""Customer Base"": ""fragmented smb"",
  ""Employee Count"": 257,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": null,
  ""Sales Motion"": ""inside sales"",
  ""Warehouse Network"": false
}",""
D-008,19,Regional Supply Company 08,domain:regional-supplier-08.example,regional-supplier-08.example,website,"tulsa, ok",2020-06-15,positive,"{
  ""Commercial Systems"": ""microsoft dynamics erp"",
  ""Customer Base"": ""local business network"",
  ""Employee Count"": 294,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": null,
  ""Sales Motion"": ""territory sales"",
  ""Warehouse Network"": false
}",""
D-009,20,Regional Supply Company 09,domain:regional-supplier-09.example,regional-supplier-09.example,website,"phoenix, az",2020-07-15,negative,"{
  ""Commercial Systems"": ""spreadsheets"",
  ""Customer Base"": ""enterprise accounts"",
  ""Employee Count"": 331,
  ""Legal Status"": ""active"",
  ""Loss Reason"": ""no territory fit"",
  ""Recent Funding"": true,
  ""Sales Motion"": ""inside sales"",
  ""Warehouse Network"": false
}",""
D-010,21,Regional Supply Company 10,domain:regional-supplier-10.example,regional-supplier-10.example,website,"columbus, oh",2020-08-15,positive,"{
  ""Commercial Systems"": ""email only"",
  ""Customer Base"": ""consumer mass market"",
  ""Employee Count"": 368,
  ""Legal Status"": ""active"",
  ""Loss Reason"": null,
  ""Recent Funding"": null,
  ""Sales Motion"": ""territory sales"",
  ""Warehouse Network"": false
}",""
