CRM Record ID,Account Name,Company Website,Primary Contact Email,Location,Deal Result,Loss Reason,Close Date,Sales Motion,Customer Base,Operating Footprint,Employee Count,Recent Funding,Warehouse Network,Legal Status,Deal Stage,Win Probability,Forecast Category,Final Sales Notes
D-001,Regional Supply Company 01,,owner1@gmail.com,"Dallas, TX",Lost,No territory fit,2019-01-15,Inside sales,Enterprise accounts,Single-site operation,1200,true,false,Inactive,Closed Lost,0,Omitted,Synthetic opportunity closed
D-002,Regional Supply Company 02,http://regional-supplier-02.example/about,sales2@regional-supplier-02.example,"Denver, CO",Won,,2019-02-15,Territory sales,Consumer mass market,Local storefront,72,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-003,Regional Supply Company 03,www.regional-supplier-03.example,sales3@regional-supplier-03.example,"Tulsa, OK",Won,,2019-03-15,Inside sales,Fragmented SMB,Single-site operation,109,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-004,Regional Supply Company 04,regional-supplier-04.example,sales4@regional-supplier-04.example,"Phoenix, AZ",Won,,2019-04-15,Territory sales,Local business network,Local storefront,146,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-005,Regional Supply Company 05," HTTPS://WWW.REGIONAL-SUPPLIER-05.EXAMPLE:443/catalog ",sales5@regional-supplier-05.example,"Columbus, OH",Lost,No territory fit,2019-05-15,Inside sales,Enterprise accounts,Regional branch network,183,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
WH-01,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-06-15,Territory sales,Local business network,Territory service network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-02,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-07-15," Field sales ",Fragmented SMB,Multi-site operations,35,true,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-03,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-08-15,Territory sales,Local business network,Regional branch network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-04,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-09-15," Field sales ",Fragmented SMB,Territory service network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-05,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-10-15,Territory sales,Local business network,Multi-site operations,35,false,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-06,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-11-15," Field sales ",Fragmented SMB,Regional branch network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-07,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2019-12-15,Territory sales,Local business network,Territory service network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-08,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2020-01-15," Field sales ",Fragmented SMB,Multi-site operations,35,true,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-09,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2020-02-15,Territory sales,Local business network,Regional branch network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
WH-10,Central Builders Warehouse Network,www.central-warehouse.example,sales0@central-warehouse.example,"Kansas City, MO",Won,,2020-03-15," Field sales ",Fragmented SMB,Territory service network,35,,true,Active,Closed Won,100,Commit,Synthetic order completed
D-006,Regional Supply Company 06,http://regional-supplier-06.example/about,sales6@regional-supplier-06.example,"Dallas, TX",Won,,2020-04-15,Territory sales,Consumer mass market,Multi-site operations,1500,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-007,Regional Supply Company 07,www.regional-supplier-07.example,sales7@regional-supplier-07.example,"Denver, CO",Won,,2020-05-15,Inside sales,Fragmented SMB,Regional branch network,257,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-008,Regional Supply Company 08,regional-supplier-08.example,sales8@regional-supplier-08.example,"Tulsa, OK",Won,,2020-06-15,Territory sales,Local business network,Territory service network,294,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-009,Regional Supply Company 09," HTTPS://WWW.REGIONAL-SUPPLIER-09.EXAMPLE:443/catalog ",sales9@regional-supplier-09.example,"Phoenix, AZ",Lost,No territory fit,2020-07-15,Inside sales,Enterprise accounts,Single-site operation,331,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-010,Regional Supply Company 10,http://regional-supplier-10.example/about,sales10@regional-supplier-10.example,"Columbus, OH",Won,,2020-08-15,Territory sales,Consumer mass market,Local storefront,368,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-011,Regional Supply Company 11,www.regional-supplier-11.example,sales11@regional-supplier-11.example,"Dallas, TX",Lost,No territory fit,2020-09-15,Inside sales,Fragmented SMB,Single-site operation,1800,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-012,Regional Supply Company 12,,owner12@gmail.com,"Denver, CO",Won,,2020-10-15,Territory sales,Local business network,Local storefront,442,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-013,Regional Supply Company 13," HTTPS://WWW.REGIONAL-SUPPLIER-13.EXAMPLE:443/catalog ",sales13@regional-supplier-13.example,"Tulsa, OK",Lost,No territory fit,2020-11-15,Inside sales,Enterprise accounts,Regional branch network,479,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-014,Regional Supply Company 14,http://regional-supplier-14.example/about,buyer14@gmail.com,"Phoenix, AZ",Won,,2020-12-15,Territory sales,Consumer mass market,Territory service network,516,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-015,Regional Supply Company 15,www.regional-supplier-15.example,sales15@regional-supplier-15.example,"Columbus, OH",Won,,2021-01-15,Inside sales,Fragmented SMB,Multi-site operations,553,true,false,Active,Closed Won,100,Commit,Synthetic order completed
D-015,Regional Supply Company 15,www.regional-supplier-15.example,sales15@regional-supplier-15.example,"Columbus, OH",Won,,2021-01-15,Inside sales,Fragmented SMB,Multi-site operations,553,true,false,Active,Closed Won,100,Commit,Synthetic order completed
